OBID,codebook,Types,OnSite,X,Y,Address,POP2010,POP10SQMI,POP2013,POP13SQMI
1,36,CV,"Bob's Market & Carry-Out - 2257 Agler Rd., Columbus, Ohio 43224",-82.9514729999999,40.0269529999999,2257 agler rd,39049007520,3321,3354.5,3323.19999999999
2,37,CV,"BP - 1950 E. 17th Ave., Columbus, Ohio 43219",-82.9549999999999,39.9993279999999,1950 east 17th ave,39049007511,1851,2804.5,3124.19999999999
3,39,CV,"Broad & Princeton Market - 1306 W. Broad St., Columbus, Ohio 43222",-83.035385,39.9580479999999,1306 west broad street,39049004300,5613,2272.5,2234.4
4,49,CV,"Corner Drive Thru - 4744 Sullivant Ave., Columbus, Ohio 43228",-83.126647,39.9408979999999,4744 sullivant avenue,39049008163,3518,9772.2,9836.1
5,58,CV,"CVS - 1260 Demorest Rd., Columbus, Ohio, 43204",-83.090316,39.9288889999999,1260 demorest road,39049008360,6366,3905.5,3857.09999999999
6,59,CV,"CVS - 1400 Parsons Ave., Columbus, Ohio 43206",-82.9836159999999,39.9352379999999,1400 parsons,39049006000,2345,6337.8,6491.89999999999
7,60,CV,"CVS - 1495 W. 5th Ave., Columbus, Ohio 43212",-83.0463029999999,39.988843,1495 west 5th ave,39049001902,3410,7930.2,7911.6
8,61,CV,"CVS - 1634 Neil Ave., Columbus, Ohio 43201",-83.0145059999999,39.9947969999999,1634 neil ave,39049001121,7300,20857.1,20854.2999999999
9,62,CV,"CVS - 2020 Eakin Rd., Columbus, Ohio 43223",-83.0489989999999,39.9321569999999,2020 eakin road,39049008340,5988,1814.5,1903
10,63,CV,"CVS - 2160 N. High St., Columbus, Ohio 43201",-83.0092669999999,40.006267,2160 north high street,39049001000,5830,16657.1,16988.5999999999
11,64,CV,"CVS - 2532 E. Main St., Columbus, Ohio 43209",-82.931211,39.957048,2532 East main street,39049008900,5063,8438.3,8476.7
12,65,CV,"CVS - 2680 N High St., Columbus, Ohio 43202",-83.011958,40.01688,2680 north high street,39049000600,3780,9947.4,10136.7999999999
13,66,CV,"CVS - 3307 E. Broad St., Columbus, Ohio 43213",-82.9130049999999,39.972057,3307 east broad street,39049002730,2104,5844.4,6080.6
14,67,CV,"CVS - 5445 N. High St., Columbus, Ohio 43214",-83.0189979999999,40.073272,5445 North high street,39049006821,3327,5736.2,5817.19999999999
15,68,CV,"CVS - 591 E. Livingston Ave., Columbus, Ohio 43215",-82.9826829999999,39.952173,591 east livingston ave,39049005200,2584,7600,8170.6
16,69,CV,"CVS - 918 High St., Worthington, Ohio 43085",-83.017829,40.092841,918 high street,39049006710,2666,3979.1,4053.69999999999
17,71,CV,"Dairy Family - 184 W. 5th Ave., Columbus, Ohio 43201",-83.010591,39.987318,184 west 5th ave,39049001820,2598,7641.2,8055.89999999999
18,109,CV,"GetGo - 2845 N. High St., Columbus, Ohio 43202",-83.0129759999999,40.020484,2845 north high street,39049000500,4057,8452.1,8547.89999999999
19,110,CV,"GetGo - 352 W. Lane Ave. Columbus, Ohio 43201",-83.01881,40.006458,352 west lane ave,39049001110,3688,17561.9,17828.5999999999
20,140,CV,"Gleasons Market & Carryout - 1004 W. Rich St., Columbus, Ohio 43223",-83.026505,39.9543979999999,1004 west rich street,39049005000,5205,6347.6,6512.19999999999
21,273,CV,"Ray's Market - 1547 Cleveland Ave., Columbus, Ohio 43211",-82.978183,39.9971129999999,1547 cleveland ave,39049001400,1543,2143.1,2129.19999999999
22,276,CV,"Rife's Market - 1417 W. 5th Ave., Columbus, Ohio 43212",-83.044104,39.9887429999999,1417 west 5th ave,39049001902,3410,7930.2,7911.6
23,277,CV,"Roe's Quik Food Shop - 1255 Brown Rd., Columbus, Ohio 43223",-83.0381469999999,39.9305129999999,1255 brown road,39049008330,1744,2859,2809.8
24,298,CV,"Soussy Market - 1950 N. 4th St., # M, Columbus, Ohio 43201",-82.998496,40.0029279999999,1950 north 4th street,39049001200,4822,19288,19468
25,299,CV,"Speedway - 1442 N. Cassady Ave., Columbus, Ohio 43219",-82.930025,40.0004279999999,1442 north cassady ave,39049007550,2871,1206.3,1195.8
26,301,CV,"Stafford's Market - 2204 Parkwood Ave., Columbus, Ohio 43211",-82.9564859999999,40.012959,2204 parkwood ave,39049007511,1851,2804.5,3124.19999999999
27,303,CV,"Stewards FoodMart & Deli - 334 N. 20th St., Columbus, Ohio 43203",-82.9732549999999,39.972388,334 north 20th street,39049002900,2368,7400,9184.39999999999
28,330,CV,"Turkey Hill Minit Market - 1425 N. Cassady Ave., Columbus, Ohio 43219",-82.930158,39.9994429999999,1425 north cassidy ave,39049007550,2871,1206.3,1195.8
29,331,CV,"Turkey Hill Minit Market - 1880 E. Broad St., Columbus, Ohio 43203",-82.9508909999999,39.9679519999999,1880 east broad street,39049003700,3303,4028,4061
